Date,Open,High,Low,Close,Adj Close,Volume
2014-08-04,79.459999,79.459999,78.660004,79.220001,67.578659,12075300
2014-08-05,78.989998,79.739998,78.980003,79.410004,67.740746,7995900
2014-08-06,79.400002,81.300003,79.269997,81.089996,69.173851,12839000
2014-08-07,81.019997,81.180000,80.010002,80.139999,68.363472,7904000
2014-08-08,80.050003,81.029999,80.040001,80.949997,69.054451,6215600
2014-08-11,81.230003,81.870003,81.029999,81.480003,69.506554,8188000
2014-08-12,81.500000,81.860001,81.209999,81.419998,69.455383,6591200
2014-08-13,81.639999,81.800003,81.110001,81.480003,69.506554,5472200
2014-08-14,81.589996,82.040001,81.440002,81.949997,69.907509,5930700
2014-08-15,82.230003,82.230003,81.180000,81.779999,69.762482,7418400
2014-08-18,81.989998,82.849998,81.809998,82.440002,70.325485,8450500
2014-08-19,82.349998,82.870003,82.120003,82.690002,70.538765,6867700
2014-08-20,82.459999,82.940002,82.459999,82.809998,70.641113,4581800
2014-08-21,82.800003,83.470001,82.690002,83.279999,71.042046,7099800
2014-08-22,83.160004,83.660004,83.139999,83.389999,71.135872,6978500
2014-08-25,83.739998,83.820000,83.309998,83.540001,71.263840,5586800
2014-08-26,83.610001,83.830002,83.330002,83.379997,71.127357,5188400
2014-08-27,83.430000,83.599998,83.160004,83.309998,71.067650,4248300
2014-08-28,83.019997,83.220001,82.760002,83.029999,70.828781,4278700
2014-08-29,83.089996,83.129997,82.599998,83.110001,70.897026,4901300
2014-09-02,83.209999,83.489998,82.709999,82.980003,70.786125,5528900
2014-09-03,83.260002,83.480003,82.769997,82.900002,70.717888,5851800
2014-09-04,82.919998,83.750000,82.779999,83.699997,71.400337,7444200
2014-09-05,83.440002,83.800003,83.070000,83.769997,71.460045,5888900
2014-09-08,83.570000,83.599998,83.129997,83.320000,71.076180,4899600
2014-09-09,83.050003,83.290001,82.830002,82.989998,70.794670,5202900
2014-09-10,83.199997,83.959999,83.150002,83.639999,71.349152,6715300
2014-09-11,83.610001,83.750000,83.370003,83.489998,71.221184,6341600
2014-09-12,83.209999,83.379997,82.860001,83.260002,71.024994,6358500
2014-09-15,83.180000,84.250000,83.139999,83.870003,71.545364,7004700
2014-09-16,83.580002,84.449997,83.559998,84.080002,71.724495,7143800
2014-09-17,84.019997,84.500000,83.930000,84.160004,71.792725,8273800
2014-09-18,84.180000,84.440002,84.070000,84.190002,71.818329,5309200
2014-09-19,84.519997,84.769997,84.180000,84.470001,72.057190,11377700
2014-09-22,84.639999,84.949997,84.489998,84.809998,72.347214,8397100
2014-09-23,84.650002,84.919998,84.440002,84.440002,72.031593,7723500
